sg_uf;nm_ue;ds_cor_raca;cd_cor_raca;ds_sexo;cd_sexo;qt_candidato;qt_cand_eleitos;qt_cand_turno_2;qt_cand_nao_eleitos;qt_cand_suplentes;qt_cand_nao_informados
CE;ABAIARA;Amarela;04;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;ABAIARA;Branca;01;Feminino;4;8,0;1,0;0,0;0,0;7,0;0,0
CE;ABAIARA;Branca;01;Masculino;2;11,0;6,0;0,0;0,0;5,0;0,0
CE;ABAIARA;Parda;03;Feminino;4;2,0;0,0;0,0;0,0;2,0;0,0
CE;ABAIARA;Parda;03;Masculino;2;4,0;1,0;0,0;0,0;3,0;0,0
CE;ABAIARA;Preta;02;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;ABAIARA;Preta;02;Masculino;2;6,0;1,0;0,0;0,0;5,0;0,0
CE;ACARAPE;Amarela;04;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;ACARAPE;Branca;01;Feminino;4;9,0;2,0;0,0;0,0;7,0;0,0
CE;ACARAPE;Branca;01;Masculino;2;12,0;2,0;0,0;2,0;8,0;0,0
CE;ACARAPE;Parda;03;Feminino;4;7,0;1,0;0,0;2,0;4,0;0,0
CE;ACARAPE;Parda;03;Masculino;2;20,0;4,0;0,0;4,0;12,0;0,0
CE;ACARAPE;Preta;02;Feminino;4;4,0;0,0;0,0;1,0;3,0;0,0
CE;ACARAPE;Preta;02;Masculino;2;6,0;2,0;0,0;1,0;3,0;0,0
CE;ACARAÚ;Branca;01;Feminino;4;14,0;1,0;0,0;2,0;11,0;0,0
CE;ACARAÚ;Branca;01;Masculino;2;26,0;9,0;0,0;1,0;16,0;0,0
CE;ACARAÚ;Parda;03;Feminino;4;17,0;0,0;0,0;1,0;14,0;2,0
CE;ACARAÚ;Parda;03;Masculino;2;31,0;5,0;0,0;0,0;26,0;0,0
CE;ACARAÚ;Preta;02;Masculino;2;3,0;0,0;0,0;1,0;2,0;0,0
CE;ACOPIARA;Branca;01;Feminino;4;15,0;2,0;0,0;3,0;9,0;1,0
